data_classification,participant_id,question,expected_online,information_found_online,correct_answer_found
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,first_car_model,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0004,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,first_pet_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,wedding_location,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,first_car_model,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,favorite_sports_team,True,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0005,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,birth_city,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,mothers_maiden_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0006,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,current_employer,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,birth_city,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,first_pet_name,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,street_grew_up_on,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,first_car_model,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,favorite_sports_team,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0007,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,birth_city,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,mothers_maiden_name,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,first_pet_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,street_grew_up_on,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0008,favorite_food,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,current_employer,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,first_pet_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,favorite_sports_team,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0009,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,wedding_location,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,first_car_model,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0010,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,first_pet_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,first_car_model,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0011,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,current_employer,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,mothers_maiden_name,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,first_car_model,True,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,favorite_sports_team,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0012,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,birth_city,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,mothers_maiden_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,street_grew_up_on,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0013,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,current_employer,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,wedding_location,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,first_car_model,True,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0014,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,current_employer,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,wedding_location,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0015,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,birth_city,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,street_grew_up_on,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,first_car_model,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,favorite_sports_team,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0016,favorite_food,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,mothers_maiden_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,first_pet_name,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,first_car_model,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0017,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,high_school,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,birth_city,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,mothers_maiden_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,wedding_location,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0018,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,current_employer,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,birth_city,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,first_pet_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,street_grew_up_on,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0019,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,high_school,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,first_pet_name,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0020,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,current_employer,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,birth_city,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,wedding_location,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,street_grew_up_on,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,favorite_sports_team,True,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0021,favorite_food,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,high_school,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,favorite_sports_team,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0022,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,high_school,False,True,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,wedding_location,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,favorite_sports_team,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0023,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,current_employer,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,mothers_maiden_name,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,street_grew_up_on,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,favorite_sports_team,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0024,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,current_employer,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,high_school,False,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,birth_city,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,mothers_maiden_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,first_pet_name,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,wedding_location,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,street_grew_up_on,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,first_car_model,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,favorite_sports_team,True,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0025,favorite_food,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0026,current_employer,False,False,False
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0026,high_school,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0026,birth_city,True,True,True
SYNTHETIC DATA - NO REAL PEOPLE OR RECOVERY ANSWERS,F0026,mothers_maiden_name,False,False,False
